Script,strike_price
CANBK25SEP_90CE,90
IDEA25SEP_5CE,5
CANBK25SEP_99CE,99
TATACONSUM25SEP_1050CE,1050
KALYANKJIL25SEP_560PE,560
KPITTECH25SEP_1220PE,1220
HCLTECH25SEP_1480PE,1480
SONACOMS25SEP_440PE,440
FORTIS25SEP_920CE,920
PFC25SEP_400CE,400
AMBER25SEP_8000CE,8000
MOTHERSON25SEP_82.5CE,82.5
KALYANKJIL25SEP_540PE,540
HINDUNILVR25SEP_2800PE,2800
M&M25SEP_3150CE,3150
TECHM25SEP_1540PE,1540
BANKINDIA25SEP_107.5CE,107.5
MARUTI25SEP_12700CE,12700
BAJFINANCE25SEP_810CE,810
GODREJCP25SEP_1360PE,1360
GODREJCP25SEP_1260PE,1260
AUROPHARMA25SEP_980CE,980
HCLTECH25SEP_1440PE,1440
PERSISTENT25SEP_5800PE,5800
HEROMOTOCO25SEP_4900CE,4900
LICI25SEP_870CE,870
ICICIBANK25SEP_1450PE,1450
COLPAL25SEP_2380PE,2380
MANAPPURAM25SEP_240CE,240
BPCL25SEP_290CE,290
HUDCO25SEP_195CE,195
JIOFIN25SEP_320PE,320
M&M25SEP_3100CE,3100
TATASTEEL25SEP_142.5CE,142.5
COLPAL25SEP_2300PE,2300
INDHOTEL25SEP_740PE,740
BHEL25SEP_190CE,190
FORTIS25SEP_900CE,900
UNIONBANK25SEP_120CE,120
MUTHOOTFIN25SEP_2300CE,2300
COLPAL25SEP_2360PE,2360
PIIND25SEP_3700PE,3700
COFORGE25SEP_1860PE,1860
